stat,num_rois,box_coverage,union_coverage,noise
count,600.0,600.0,600.0,600.0
mean,2.1733333333333333,0.07814335535622428,0.07810867653677983,0.3883034501897607
std,1.094815017293961,0.026241643085059888,0.026224066286115007,0.14139138896061887
min,1.0,0.024001736111111113,0.024001736111111113,0.048913043478260865
25%,1.0,0.060809702932098766,0.06076738522376543,0.2864099563616861
50%,2.0,0.0759252025462963,0.07582875192901234,0.3789930113459525
75%,3.0,0.0913357204861111,0.0913357204861111,0.4802078726227333
max,7.0,0.20418643904320988,0.20418643904320988,0.7784431137724551
