category,n_images,num_rois_mean,num_rois_std,box_coverage_mean,box_coverage_std,union_coverage_mean,union_coverage_std,noise_mean,noise_std,reliable_n,reliable_pct
Action,100,2.15,1.0087996667707455,0.08444319058641975,0.023360345103777783,0.08443349729938271,0.023344894876943748,0.32879123474838273,0.09767654506149273,97,97.0
Affective,100,1.96,0.9839109756887601,0.08813402777777778,0.02668706071483425,0.08810085841049382,0.026672034783338874,0.29158837557566614,0.12184124898278169,98,98.0
Social,100,3.07,1.1913408115618844,0.09452318672839506,0.024717890641456436,0.09449973958333333,0.024686761164034406,0.3308057421181219,0.10072805123876341,99,99.0
Indoor,100,2.24,1.0456258094238748,0.06892119502314814,0.021188387676548747,0.06885348186728395,0.021161883432558516,0.46960613960275077,0.13822792912717496,74,74.0
OutdoorManMade,100,1.97,0.9582707489445915,0.06685013020833333,0.021868760637462948,0.06677608024691357,0.021805043640038813,0.4600869841102728,0.13633954125403025,79,79.0
OutdoorNatural,100,1.65,0.8087276451565162,0.0659884018132716,0.024383707231130456,0.0659884018132716,0.024383707231130456,0.4489422249833698,0.12949935112022953,73,73.0
